Did you respond to the sector survey on the National Lottery Heritage Fund website?:Response,Organisation Type:Response,What is the approximate number of paid employees (full time equivalent) at your business/organisation?:Response,What is the approximate number of volunteers working with your business/organisation?:Response,Area:Archaeology,Area:Archives,Area:Community heritage,Area:Conservation Architecture/Project Management,Area:Gardens and Landscapes,Area:Historic buildings (including industrial heritage sites),Area:Intangible (e.g. cultural traditions people’s memories dialects),Area:Maritime and transport heritage,Area:Places of worship,Area:Planning,Area:Public parks,Area:My organisation does not work in or represent any heritage areas,Area:Other,Geography:All English regions,Geography:East Midlands,Geography:West Midlands,Geography:East of England,Geography:London,Geography:South East of England,Geography:South West of England,Geography:North East of England,Geography:North West of England,Geography:Yorkshire and the Humber,Effects:Loss or postponement of work,Effects:Business-critical staff absence,Effects:Lack of available volunteers,Effects:Postponement/cancellation of planned income-generating or marketing events,Effects:Reduced opening/business hours,Effects:Supply chain problems,Effects:Increased overheads,Effects:Reduced visitor numbers,Effects:Have had to furlough staff,Effects:Have had to lay staff off,Effects:Additional costs e.g.  investment in IT/home working,Effects:Delayed payment by debtors,Measures expected:Coronavirus Job Retention Scheme,Measures expected:Deferring VAT and Self-Assessment payments,Measures expected:Self-employment Income Support Scheme,Measures expected:Statutory Sick Pay relief package for small and medium sized businesses (SMEs),Measures expected:12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Measures expected:Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,Measures expected:Grant funding of £25000 for retail hospitality and leisure businesses with property with a rateable value between £15000 and £51000,Measures expected:Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,Measures expected:Lending facility from the Bank of England to help support liquidity among larger firms helping them bridge coronavirus disruption to their cash flows through loans,Measures expected:HMRC Time To Pay Scheme,Measures expected:Awaiting further clarification of the Government support,Continued operation if the current restrictions continue until September 2020 with measures:Response,Continued operation if the current restrictions continue until September 2020 without measures:Response,Level of risk:Response,Opportunities to work better:Response
No,Sole trader or Partnership dealing in heritage products or services,0 (entirely voluntary),0,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,,,,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,,,Self-employment Income Support Scheme,,,,,,,,,More than 6 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Other (please specify),501+,Don’t know,Archaeology,Archives,Community heritage,,,Historic buildings (including industrial heritage sites),,Maritime and transport heritage,,Planning,,,,,,,,,,South West of England,,,,,Business-critical staff absence,,,Reduced opening/business hours,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,High risk – without major intervention our business/organisation is unlikely to survive,Strongly agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,Conservation Architecture/Project Management,,,,,,,,,,,,,,London,South East of England,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,Supply chain problems,,,,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,,,,All English regions,,,East of England,,,,,,,Loss or postponement of work,Business-critical staff absence,,,,,,,,,,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,,1-2 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Strongly disagree
No,Incorporated private sector organisation in the heritage sector,6-10,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,,,,,,,,,,South West of England,,,,Loss or postponement of work,Business-critical staff absence,,,Reduced opening/business hours,Supply chain problems,,,Have had to furlough staff,,,Delayed payment by debtors,Coronavirus Job Retention Scheme,,,,,Small business grant funding of £10000 for all business in receipt of small business rate relief or rural rate relief,,,,,,3-4 months,1-2 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
Yes,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,,Community heritage,,,,,,,,,,,,,,,,,,,,Yorkshire and the Humber,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,Awaiting further clarification of the Government support,4-6 months,3-4 months,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,,,,Gardens and Landscapes,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,,Have had to furlough staff,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,,2-3 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Disagree
No,Other (please specify),1-5,0,,,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,South East of England,,,,Yorkshire and the Humber,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,3-4 months,Less than one month,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Charity or third sector organisation with a heritage purpose (not for profit),1-5,51-100,,,,,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,South East of England,,,,,,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,Self-employment Income Support Scheme,,,,,,,,,More than 6 months,2-3 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
Yes,Faith-based or church organisation,0 (entirely voluntary),21-50,,,Community heritage,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,,,Yorkshire and the Humber,,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Don’t know,Strongly disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,,Archives,,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,,,,,,,,North East of England,,Yorkshire and the Humber,Loss or postponement of work,,,Postponement/cancellation of planned income-generating or marketing events,,,,,,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,HMRC Time To Pay Scheme,Awaiting further clarification of the Government support,1-2 months,Less than one month,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Incorporated private sector organisation in the heritage sector,1-5,0,,,,,,Historic buildings (including industrial heritage sites),,,Places of worship,,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,,,,,,,,Self-employment Income Support Scheme,,,,,,,,Awaiting further clarification of the Government support,4-6 months,4-6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Disagree
No,Sole trader or Partnership dealing in heritage products or services,0 (entirely voluntary),0,Archaeology,,,,,,,,,,,,,,,,,,,,,,,Loss or postponement of work,,,,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,Deferring VAT and Self-Assessment payments,Self-employment Income Support Scheme,,,,,,,,Awaiting further clarification of the Government support,4-6 months,1-2 months,High risk – without major intervention our business/organisation is unlikely to survive,Neither agree nor disagree
No,Other (please specify),501+,Don’t know,,,,,,,,,,Planning,Public parks,,,,,,East of England,,,,,,,Loss or postponement of work,,,,,,,,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Neither agree nor disagree
No,Sole trader or Partnership dealing in heritage products or services,1-5,0,Archaeology,,,,,,,,,Planning,,,,All English regions,,,,,,,,,,Loss or postponement of work,Business-critical staff absence,,,,,Increased overheads,,Have had to furlough staff,,Additional costs e.g.  investment in IT/home working,Delayed payment by debtors,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,Statutory Sick Pay relief package for small and medium sized businesses (SMEs),,,,,,,,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Strongly disagree
No,Charity or third sector organisation with a heritage purpose (not for profit),11-20,51-100,,,Community heritage,,,Historic buildings (including industrial heritage sites),,,,,,,,,,,,,,,,North West of England,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,Deferring VAT and Self-Assessment payments,,,12-month business rates holiday for all retail hospitality leisure and nursery businesses in England,,,Coronavirus Business Interruption Loan Scheme offering loans of up to £5 million for SMEs through the British Business Bank,,HMRC Time To Pay Scheme,,3-4 months,3-4 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Neither agree nor disagree
No,Other (please specify),1-5,101-500,Archaeology,Archives,Community heritage,,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,,Planning,,,,,,,,,,South West of England,,,,,,Lack of available volunteers,,Reduced opening/business hours,,,Reduced visitor numbers,,,,,,,,,,,,,,,Awaiting further clarification of the Government support,More than 6 months,More than 6 months,Moderate risk – we would be able to continue to operate provided we successfully mitigate the impact.,Agree
No,Sole trader or Partnership dealing in heritage products or services,1-5,1-5,,,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),,,Places of worship,Planning,Public parks,,,All English regions,,,,,,,,,,Loss or postponement of work,,Lack of available volunteers,Postponement/cancellation of planned income-generating or marketing events,,Supply chain problems,Increased overheads,,,,,Delayed payment by debtors,,Deferring VAT and Self-Assessment payments,,,,,,,,HMRC Time To Pay Scheme,,Less than one month,Less than one month,High risk – without major intervention our business/organisation is unlikely to survive,Strongly disagree
No,Faith-based or church organisation,1-5,21-50,,Archives,Community heritage,Conservation Architecture/Project Management,,Historic buildings (including industrial heritage sites),Intangible (e.g. cultural traditions people’s memories dialects),,Places of worship,,,,,,,,East of England,,,,,,,,,,Postponement/cancellation of planned income-generating or marketing events,Reduced opening/business hours,,,Reduced visitor numbers,Have had to furlough staff,,,,Coronavirus Job Retention Scheme,,,,,,,,,,Awaiting further clarification of the Government support,Don’t know,Don’t know,Minimal risk – we fully expect to be able to continue to operate,Agree
